
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
MONTEYNARD,FR,FR,,,,366.0,,,366.0,hydro,hydro_reservoir
MONTPEZAT,FR,FR,,,,131.8,,,131.8,hydro,hydro_reservoir
ORAISON,FR,FR,,,,187.0,,,187.0,hydro,hydro_reservoir
PIED DE BORNE,FR,FR,,,,109.4,,,109.4,hydro,hydro_reservoir
POUGET,FR,FR,,,,446.9,,,446.9,hydro,hydro_reservoir
PRAGNERES,FR,FR,,,,189.2,,,189.2,hydro,hydro_reservoir
SAINT CHAMAS,FR,FR,,,,159.0,,,159.0,hydro,hydro_reservoir
SAINT ESTEVE,FR,FR,,,,141.0,,,141.0,hydro,hydro_reservoir
SAINT GUILLERME,FR,FR,,,,116.0,,,116.0,hydro,hydro_reservoir
SAINTE CROIX,FR,FR,,,,132.3,,,132.3,hydro,hydro_reservoir
SARRANS,FR,FR,,,,183.0,,,183.0,hydro,hydro_reservoir
SERRE PONCON,FR,FR,,,,384.0,,,384.0,hydro,hydro_reservoir
SISTERON,FR,FR,,,2017.0,240.0,,,240.0,hydro,hydro_reservoir
ST ETIENNE CANTALES,FR,FR,,,2016.0,103.3,,,103.3,hydro,hydro_reservoir
VILLARODIN,FR,FR,,,,357.0,,,357.0,hydro,hydro_reservoir
VOUGLANS,FR,FR,,,,285.0,,,285.0,hydro,hydro_reservoir
BELLEVILLE 1,FR,FR,,,,1310.0,,,1310.0,nuclear,steam_turbine
BELLEVILLE 2,FR,FR,,,,1310.0,,,1310.0,nuclear,steam_turbine
BLAYAIS 1,FR,FR,,,,910.0,,,910.0,nuclear,steam_turbine
BLAYAIS 2,FR,FR,,,,910.0,,,910.0,nuclear,steam_turbine
BLAYAIS 3,FR,FR,,,,910.0,,,910.0,nuclear,steam_turbine
BLAYAIS 4,FR,FR,,,,910.0,,,910.0,nuclear,steam_turbine
BUGEY 2,FR,FR,,,,910.0,,,910.0,nuclear,steam_turbine
BUGEY 3,FR,FR,,,,910.0,,,910.0,nuclear,steam_turbine
BUGEY 4,FR,FR,,,,880.0,,,880.0,nuclear,steam_turbine
BUGEY 5,FR,FR,,,,880.0,,,880.0,nuclear,steam_turbine
CATTENOM 1,FR,FR,,,,1300.0,,,1300.0,nuclear,steam_turbine
CATTENOM 2,FR,FR,,,,1300.0,,,1300.0,nuclear,steam_turbine
CATTENOM 3,FR,FR,,,,1300.0,,,1300.0,nuclear,steam_turbine
CATTENOM 4,FR,FR,,,,1300.0,,,1300.0,nuclear,steam_turbine
CHINON 1,FR,FR,,,,905.0,,,905.0,nuclear,steam_turbine
CHINON 2,FR,FR,,,,905.0,,,905.0,nuclear,steam_turbine
CHINON 3,FR,FR,,,,905.0,,,905.0,nuclear,steam_turbine
CHINON 4,FR,FR,,,,905.0,,,905.0,nuclear,steam_turbine
CHOOZ 1,FR,FR,,,,1500.0,,,1500.0,nuclear,steam_turbine
CHOOZ 2,FR,FR,,,,1500.0,,,1500.0,nuclear,steam_turbine
CIVAUX 1,FR,FR,,,,1495.0,,,1495.0,nuclear,steam_turbine
CIVAUX 2,FR,FR,,,,1495.0,,,1495.0,nuclear,steam_turbine
CRUAS 1,FR,FR,,,,915.0,,,915.0,nuclear,steam_turbine
